
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrHa* (MaIm Diabolic Horde)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrHa	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrHa* (MaIm Diabolic Horde)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrHa* (MaIm Diabolic Horde)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrHa* (MaIm Diabolic Horde)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrHa* (MaIm Diabolic Horde)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrHa* (MaIm Diabolic Horde)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrHa* (MaIm Diabolic Horde)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrMa* (MaIm Cleric)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrMa* (MaIm Cleric)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrMa* (MaIm Cleric)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrMa* (MaIm Cleric)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrMa* (MaIm Cleric)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrMa* (MaIm Cleric)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrMa* (MaIm Cleric)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrMa* (MaIm Cleric)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrMa* (MaIm Cleric)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrHa* (MaIm Diabolic Horde)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrHa* (MaIm Diabolic Horde)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrHa* (MaIm Diabolic Horde)	
Black Crystal Smith (cast curse)	 Smith/earth, passive	L20	 422/1454	 F20/D0/A70/E100	DaBrHa* (MaIm Diabolic Horde)	
